School_ID,LinkedClubs,Region,LocalAuthority,SEEDCode,Postscode,SchoolType,School
1625,none,West,Glasgow City Council,8421129,G13 4HG,Primary,St Brendan's RC Primary School
1628,Glasgow South Saltires Netball Club,West,Glasgow City Council,8421226,G42 8NB,Primary,St Brides RC Primary School
1632,none,West,Glasgow City Council,8455120,G69 6DF,Primary,St Bridgets RC Primary School
1638,none,West,Glasgow City Council,8421420,G21 3JR,Primary,St Catherines RC Primary School
1642,none,West,Glasgow City Council,8421528,G20 6BG,Primary,St Charles' RC Primary School
1643,none,West,Glasgow City Council,8427429,G15 8RP,Primary,St Clares RC Primary School
1652,Glasgow South Saltires Netball Club,West,Glasgow City Council,8422125,G43 1SY,Primary,St Convals RC Primary School
1655,none,West,Glasgow City Council,8422222,G22 5NT,Primary,St Cuthberts RC Primary School
1662,Eastbank Netball Club,West,Glasgow City Council,8422524,G31 2RZ,Primary,St Denis's RC Primary School
1672,Glasgow South Saltires Netball Club,West,Glasgow City Council,8422729,G44 5AF,Primary,St Fillans RC Primary School
1677,none,West,Glasgow City Council,8422826,G5 0PA,Primary,St Francis RC Primary School
1681,none,West,Glasgow City Council,8422923,G52 2QJ,Primary,St Georges RC Primary School
1690,none,West,Glasgow City Council,8455627,G32 8BZ,Primary,St Joachims RC Primary School
1720,none,West,Glasgow City Council,8423725,G4 9QX,Primary,St Josephs RC Primary School
2568,none,West,Glasgow City Council,8442746,G21 1TN,ASN,St Kevins RC School (ASN)
1751,none,West,Glasgow City Council,8425426,G33 3LT,Primary,St Maria Goretti RC Primary School
1758,none,West,Glasgow City Council,8424721,G53 5LW,Primary,St Marnocks RC Primary School
1759,Broomhill Sports Club,West,Glasgow City Council,8424829,G21 3NG,Primary,St Marthas RC Primary School
1790,Eastbank Netball Club,West,Glasgow City Council,8425221,G31 4HZ,Primary,St Michaels RC Primary School
1792,none,West,Glasgow City Council,8425329,G44 5AP,Primary,St Mirins RC Primary School
1794,none,West,Glasgow City Council,8425523,G53 5SR,Primary,St Monicas RC Primary School
1796,none,West,Glasgow City Council,8420220,G22 7QX,Primary,St Monica's RC Primary School (Milton)
1797,none,West,Glasgow City Council,8438439,G40 2RA,Secondary,St Mungo's Academy
1798,none,West,Glasgow City Council,8425620,G4 0PX,Primary,St Mungos RC Primary School
1820,none,West,Glasgow City Council,8425825,G3 8UQ,Primary,St Patricks RC Primary School
2420,none,West,Glasgow City Council,8432139,G53 5HW,Secondary,St Paul's High School
1831,none,West,Glasgow City Council,8425922,G32 7RR,Primary,St Pauls RC Primary School (Anworth Street)
1832,none,West,Glasgow City Council,8426023,G14 0TF,Primary,St Pauls RC Primary School (Primrose Street)
1843,Broomhill Sports Club,West,Glasgow City Council,8426422,G33 1EA,Primary,St Philomenas RC Primary School
2570,none,West,Glasgow City Council,8442940,G45 9SR,ASN,St Raymonds RC School (ASN)
2423,none,West,Glasgow City Council,8438730,G21 2NF,Secondary,St Roch's Secondary School
1848,none,West,Glasgow City Council,8426929,G33 5QS,Primary,St Rose of Lima RC Primary School
1855,none,West,Glasgow City Council,8427623,G21 1NL,Primary,St Stephens RC Primary School
1860,none,West,Glasgow City Council,8427720,G22 5AX,Primary,St Teresas RC Primary School
2425,none,West,Glasgow City Council,8438838,G14 9PP,Secondary,St Thomas Aquinas Secondary
1866,none,West,Glasgow City Council,8427925,G33 2QJ,Primary,St Thomas' RC Primary School
1868,none,West,Glasgow City Council,8428026,G32 6SL,Primary,St Timothys RC Primary School
2571,none,West,Glasgow City Council,8453640,G46 8EY,ASN,St Vincents School (ASN)
1930,Broomhill Sports Club,West,Glasgow City Council,8457824,G69 6AZ,Primary,Swinton Primary School
1955,Broomhill Sports Club,West,Glasgow City Council,8430322,G11 7QZ,Primary,Thornwood Primary School
2574,none,West,Glasgow City Council,8430640,G42 0ER,ASN,Toryglen School (ASN)
2035,none,West,Glasgow City Council,8430926,G32 7QD,Primary,Wellshot Primary School
2046,North Glasgow Netball Club,West,Glasgow City Council,8447020,G22 5QN,Primary,Westercommon Primary School
2464,none,West,Glasgow City Council,8439532,G31 2QF,Secondary,Whitehill Secondary School
2062,Broomhill Sports Club,West,Glasgow City Council,8431027,G14 9RP,Primary,Whiteinch Primary School
2096,none,West,Glasgow City Council,8431426,G14 0ES,Primary,Yoker Primary School
462,none,West,Glasgow City Council,8416621,G33 3LT,Primary,Cranhill Primary School
1771,none,West,Glasgow City Council,8425124,G20 0EL,Primary,St Marys RC Primary School
1845,none,West,Glasgow City Council,8426821,G21 2BS,Primary,St Roch's RC Primary School
2073,none,West,Glasgow City Council,8550743,ML5 1EG,Primary,Willowbank Primary School
2318,none,West,Glasgow City Council,8435839,G52 3DF,Secondary,Lourdes Secondary School
2476,none,West,Glasgow City Council,8459045,G22 5AX,ASN,Broomlea School (ASN)
2483,none,West,Glasgow City Council,8440042,G51 2BG,ASN,Cartvale Secondary (ASN)
2488,none,West,Glasgow City Council,8459142,G33 5NY,ASN,Croftcroighn School (ASN)
2499,none,West,Glasgow City Council,8440646,G21 3DZ,ASN,Gadburn School (ASN)
2504,none,West,Glasgow City Council,8440549,G22 6DJ,ASN,Greenview School (ASN)
2511,none,West,Glasgow City Council,8440948,G42 7HU,ASN,Hollybrook School (ASN)
2512,none,West,Glasgow City Council,8441049,G53 7TX,ASN,Howford School (ASN)
2527,none,West,Glasgow City Council,8447241,G53 5FD,ASN,Langlands (ASN)
2530,none,West,Glasgow City Council,8443645,G52 4EX,ASN,Linburn School (ASN)
2569,none,West,Glasgow City Council,8442843,G44 3NF,ASN,St Oswalds School (ASN)
